species,AccSpeciesID
Bellis perennis,7173
Bellium bellidioides,76486
Berberis aquifolium,7193
Berberis julianae,7215
Berberis microphylla,65989
Berberis nervosa,7218
Berberis repens,7224
Berberis thunbergii,7226
Berberis verruculosa,101796
Berberis vulgaris,7230
Berkheya macrocephala,286432
Berteroa incana,7285
Betula alleghaniensis,7319
Betula grossa,7339
Betula lenta,7341
Betula nigra,7352
Betula papyrifera,7355
Betula pendula,7356
Betula populifolia,7358
Betula pubescens,7359
Betula pumila,7360
Betula utilis,7364
Bidens amplissima,208902
Bidens aurea,66015
Bidens cernua,7387
Bidens connata,7391
Bidens frondosa,7395
Bidens pilosa,7402
Bidens tripartita,7413
Bidens vulgata,7415
Bixa orellana,7479
Blasia pusilla,287112
Blechnum spicant,7523
Blepharostoma trichophyllum,287284
Blindia acuta,287319
Blitum nuttallianum,287321
Boechera calderi,209178
Boechera divaricarpa,209186
Boechera grahamii,209195
Boehmeria cylindrica,7615
Boehmeria nivea,7619
Bolboschoenus fluviatilis,66067
Bolboschoenus maritimus,7655
Boltonia asteroides,7658
Borago officinalis,7725
Botrychium lunaria,7875
Botrychium simplex,7878
Bouteloua curtipendula,7905
Boykinia occidentalis,7943
Brachydontium olympicum,288182
Brachyelytrum aristosum,8119
Brachyelytrum erectum,8120
Brachythecium acuminatum,209652
Brachythecium acutum,288414
Brachythecium albicans,288415
Brachythecium campestre,288419
Brachythecium digastrum,288424
Brachythecium frigidum,288427
Brachythecium hylotapetum,288432
Brachythecium laetum,288433
Brachythecium leibergii,288435
Brachythecium nelsonii,288437
Brachythecium oedipodium,288438
Brachythecium plumosum,288439
Brachythecium populeum,288440
Brachythecium reflexum,288441
Brachythecium rivulare,288443
Brachythecium rotaeanum,288444
Brachythecium rutabulum,102597
Brachythecium salebrosum,102598
Brachythecium velutinum,288450
Brassica juncea,8251
Brassica napus,8255
Brassica nigra,8256
Brassica oleracea,8257
Brassica rapa,8262
Braya humilis,76865
Briza maxima,8360
Bromus anomalus,8404
Bromus berteroanus,8415
Bromus carinatus,8426
Bromus catharticus,8427
Bromus cebadilla,8428
Bromus ciliatus,8431
Bromus commutatus,8433
Bromus danthoniae,8435
Bromus diandrus,8437
Bromus erectus,8440
Bromus hordeaceus,8453
Bromus inermis,8455
Bromus japonicus,8459
Bromus kalmii,8460
Bromus latiglumis,8468
Bromus nottowayanus,8493
Bromus pectinatus,8500
Bromus pubescens,8517
Bromus pumpellianus,8518
Bromus racemosus,8520
Bromus riparius,8525
Bromus rubens,8526
Bromus scoparius,8527
Bromus secalinus,8529
Bromus sitchensis,8537
Bromus striatus,8543
Bromus tectorum,8548
Bromus vulgaris,8563
Brotherella recurvans,102607
Brotherella roellii,288814
Browallia speciosa,8595
Brugmansia suaveolens,66132
Bryhnia novae-angliae,288976
Bryoerythrophyllum recurvirostrum,288986
Bryum argenteum,289028
Bryum caespiticium,289033
Bryum calobryoides,289034
Bryum capillare,289037
Bryum cyclophyllum,289042
Bryum dichotomum,289043
Bryum flaccidum,289046
Bryum gemmiparum,289049
Bryum lisae,289056
Bryum lonchocaulon,289058
Bryum meesioides,289061
Bryum muehlenbeckii,289065
Bryum pallescens,289068
Bryum pseudotriquetrum,289070
Bryum radiculosum,289072
Bryum turbinatum,289084
Bryum violaceum,289087
Bryum weigelii,289089
Bucklandiella heterosticha,289137
Bucklandiella occidentalis,289140
Buddleja davidii,8761
Buglossoides arvensis,8778
Bulbine semibarbata,8792
Butomus umbellatus,8952
Buxbaumia aphylla,289749
Buxbaumia piperi,289751
Buxbaumia viridis,289752
Buxus sempervirens,8964
Cabomba caroliniana,9006
Caiophora chuquitensis,77140
Cakile edentula,9080
Calamagrostis canadensis,9138
Calamagrostis inexpansa,9215
Calamagrostis pickeringii,9276
Calamagrostis stricta,9328
Calceolaria dichotoma,210700
Calendula officinalis,9484
Calla palustris,9492
Calliandra haematocephala,9506
Callicarpa dichotoma,9519
Callicladium haldanianum,291205
Calliergon cordifolium,291208
Calliergonella cuspidata,291216
Calliergonella lindbergii,291217
Calliergon richardsonii,291214
Callitriche heterophylla,9595
Callitriche palustris,9597
Callitriche stagnalis,9601
Callitris rhomboidea,9615
Calluna vulgaris,9621
Calocedrus decurrens,9622
Calopogon tuberosus,77376
Caltha palustris,9768
Calycanthus floridus,9775
Calypogeia fissa,291779
Calypogeia muelleriana,291783
Calypogeia sullivantii,291789
Calystegia sepium,9842
Calystegia silvatica,9843
Calystegia spithamaea,292000
Camelina alyssum,9860
Camelina microcarpa,9864
Camelina sativa,9866
Campanula alaskana,211276
Campanula aparinoides,64284
Campanula lactiflora,9951
Campanula latifolia,9953
Campanula poscharskyana,9962
Campanula rapunculoides,9967
Campanula rotundifolia,9970
Campanula trachelium,9980
Campsis radicans,10014
Campylium chrysophyllum,292529
Campylium hispidulum,292531
Campylium stellatum,292534
Campylopus atrovirens,292608
Campylopus flexuosus,292611
Campylopus fragilis,292612
Campylopus introflexus,292614
Canadanthus modestus,64287
Cannabis sativa,10111
Canna generalis,10107
Canna indica,10108
Capnoides sempervirens,77602
Caragana arborescens,10240
Cardamine bellidifolia,10284
Cardamine breweri,64290
Cardamine bulbosa,10286
Cardamine concatenata,66352
Cardamine corymbosa,10288
Cardamine diphylla,77654
Cardamine flexuosa,10293
Cardamine hirsuta,10295
Cardamine impatiens,10296
Cardamine maxima,77666
Cardamine nuttallii,211588
Cardamine occidentalis,211590
Cardamine oligosperma,10300
Cardamine pensylvanica,64292
Cardamine pratensis,10304
Carduus acanthoides,10331
Carduus nutans,10343
Carex adusta,77711
Carex alopecoidea,66365
Carex amphibola,64295
Carex amplifolia,10359
Carex aquatilis,10364
Carex arcta,10365
Carex arctata,77728
Carex atherodes,10369
Carex atlantica,64298
Carex atratiformis,77733
Carex aurea,10373
Carex bebbii,64300
Carex blanda,64302
Carex bromoides,77742
Carex brunnescens,10392
Carex canescens,10397
Carex capillaris,10399
Carex cephaloidea,77755
Carex cephalophora,10402
Carex cespitosa,211693
Carex communis,77759
Carex comosa,10407
Carex concinna,77762
Carex conoidea,10408
Carex crawfordii,10410
Carex crinita,10411
Carex cristatella,10413
Carex cumulata,77769
Carex debilis,64305
Carex deweyana,64307
Carex diandra,10426
Carex disperma,10432
Carex eburnea,10441
Carex echinata,10442
Carex echinodes,293476
Carex enervis,10448
Carex exilis,77781
Carex exsiccata,211722
Carex flacca,10460
Carex flava,10461
Carex foenea,10462
Carex folliculata,10464
Carex formosa,77791
Carex gracillima,10481
Carex granularis,10483
Carex gravida,77800
Carex grisea,10485
Carex hirsutella,66390
Carex hirta,10497
Carex hirtifolia,77809
Carex hitchcockiana,77810
Carex hookeriana,211743
Carex hormathodes,77811
Carex hystericina,10504
Carex incurviformis,211749
Carex inops,77818
Carex interior,10508
Carex intumescens,10509
Carex lacustris,10525
Carex laeviculmis,10526
Carex lasiocarpa,10531
Carex laxiflora,10534
Carex lenticularis,10535
Carex leporina,10537
Carex leptalea,10538
Carex leptonervia,10539
Carex leptopoda,77834
Carex limosa,10543
Carex livida,10546
Carex lupulina,10552
Carex lurida,10553
Carex lyngbyei,10556
Carex macrochaeta,211772
Carex magellanica,10559
Carex mertensii,10567
Carex michelii,10569
Carex microptera,10571
Carex morrowii,211788
Carex nardina,66400
Carex nigra,10583
Carex nigricans,211794
Carex novae-angliae,77869
Carex obnupta,10587
Carex oederi,211800
Carex pallescens,10601
